City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kahului,US,20.8947,-156.47,79.84,89,40,18.41,scattered clouds
79,New Norfolk,AU,-42.7826,147.0587,42.3,72,74,3.0,moderate rain
80,Visby,SE,57.6409,18.296,75.85,53,0,10.36,clear sky
81,Saucillo,MX,28.0167,-105.2833,86.32,34,23,4.07,few clouds
82,Yulara,AU,-25.2406,130.9889,46.24,57,81,4.61,broken clouds
83,Laguna,US,38.421,-121.4238,98.44,49,1,1.99,clear sky
84,Tilichiki,RU,60.4667,166.1,52.27,98,100,4.74,overcast clouds
85,Tartagal,AR,-22.5164,-63.8013,84.9,33,100,5.37,overcast clouds
86,Port Alfred,ZA,-33.5906,26.891,61.45,51,25,11.18,scattered clouds
87,Seydi,TM,39.4816,62.9137,98.71,12,0,14.83,clear sky
88,Kaitangata,NZ,-46.2817,169.8464,48.92,61,100,4.9,overcast clouds
89,Saldanha,ZA,-33.0117,17.9442,60.85,56,100,10.98,overcast clouds
90,Amapa,BR,1.0,-52.0,86.77,59,39,4.0,scattered clouds
91,Padang,ID,-0.9492,100.3543,78.44,85,24,3.18,few clouds
92,Fairbanks,US,64.8378,-147.7164,59.34,77,90,0.0,overcast clouds
93,Ribeira Grande,PT,38.5167,-28.7,73.8,78,40,6.91,scattered clouds
94,Geraldton,AU,-28.7667,114.6,48.61,93,75,11.5,broken clouds
95,Kruisfontein,ZA,-34.0033,24.7314,53.64,48,51,1.14,broken clouds
96,Avarua,CK,-21.2078,-159.775,73.45,88,90,8.05,overcast clouds
97,Khatanga,RU,71.9667,102.5,54.21,74,53,7.49,broken clouds
98,Muyezerskiy,RU,63.9333,31.65,64.18,58,91,3.13,overcast clouds
99,Labuhan,ID,-6.8844,112.2051,74.57,80,11,5.1,few clouds
100,Bengbu,CN,32.9408,117.3608,76.77,88,100,10.65,overcast clouds
101,Goreloye,RU,52.937,41.5043,64.31,57,93,4.68,overcast clouds
102,Sobolevo,RU,54.4299,31.8996,70.36,58,30,4.21,scattered clouds
103,Walvis Bay,NA,-22.9575,14.5053,83.35,10,3,10.36,clear sky
104,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,6.91,scattered clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,0,19.57,clear sky
106,Lavrentiya,RU,65.5833,-171.0,44.11,99,100,5.75,light rain
107,Dergachi,RU,51.2328,48.7659,67.53,46,6,6.42,clear sky
108,Vardo,NO,70.3705,31.1107,46.4,79,97,21.81,overcast clouds
109,Kihei,US,20.785,-156.4656,79.84,89,40,18.41,scattered clouds
110,Gornyy,RU,55.1153,83.9059,68.79,88,34,4.43,scattered clouds
111,Bell Ville,AR,-32.6259,-62.6887,61.81,50,0,11.07,clear sky
112,Katsuura,JP,35.1333,140.3,81.1,86,8,11.07,clear sky
113,Barrow,US,71.2906,-156.7887,42.82,93,90,11.5,overcast clouds
114,Atessa,IT,42.0693,14.4511,86.52,34,82,17.0,broken clouds
115,Muridke,PK,31.8025,74.2617,89.74,45,79,8.14,broken clouds
116,Port Macquarie,AU,-31.4333,152.9167,53.56,57,0,8.16,clear sky
117,Itaituba,BR,-4.2761,-55.9836,95.16,46,20,9.22,few clouds
118,Pangnirtung,CA,66.1451,-65.7125,55.4,82,90,4.61,light rain
119,East London,ZA,-33.0153,27.9116,59.94,72,0,6.91,clear sky
120,Atuona,PF,-9.8,-139.0333,77.2,72,45,23.53,scattered clouds
121,Pasni,PK,25.2631,63.471,81.99,85,36,14.09,scattered clouds
122,Oktyabrskiy,RU,54.4815,53.471,57.49,49,30,5.61,scattered clouds
123,Pevek,RU,69.7008,170.3133,34.74,91,100,9.82,overcast clouds
124,Cidreira,BR,-30.1811,-50.2056,74.25,52,7,5.03,clear sky
125,Ladario,BR,-19.0047,-57.6017,95.29,28,0,14.97,clear sky
126,Hofn,IS,64.2539,-15.2082,52.45,84,97,15.77,overcast clouds
127,Villa Maria,AR,-32.4075,-63.2402,62.83,46,0,11.86,clear sky
128,Sandakan,MY,5.8402,118.1179,74.88,83,40,14.97,scattered clouds
129,Tres Passos,BR,-27.4556,-53.9319,79.59,34,67,10.54,broken clouds
130,Urubicha,BO,-15.3833,-62.95,93.76,23,0,7.49,clear sky
131,Norman Wells,CA,65.282,-126.8329,62.64,48,20,8.05,few clouds
132,Castro,BR,-24.7911,-50.0119,70.18,40,2,9.26,clear sky
133,Codrington,AU,-38.2667,141.9667,49.44,93,97,14.72,light rain
134,Maple Creek,CA,49.9168,-109.4848,82.45,20,2,9.22,clear sky
135,Ponta Do Sol,PT,32.6667,-17.1,80.71,73,4,4.74,clear sky
136,Verkhoyansk,RU,67.5447,133.385,55.29,71,46,3.47,scattered clouds
137,Abha,SA,18.2164,42.5053,66.02,94,40,4.61,scattered clouds
138,Omboue,GA,-1.5746,9.2618,75.06,74,80,9.66,broken clouds
139,Chicama,PE,-7.8447,-79.1469,68.54,66,79,7.83,broken clouds
140,Cairns,AU,-16.9167,145.7667,67.95,73,90,9.22,overcast clouds
141,Smithers,CA,54.7804,-127.1743,53.92,87,75,2.3,light rain
142,Magadi,IN,12.9667,77.2333,71.94,84,79,14.03,broken clouds
143,Amnat Charoen,TH,15.9167,104.75,73.11,93,100,10.8,overcast clouds
144,Shellbrook,CA,53.2168,-106.4011,67.23,42,100,7.81,overcast clouds
145,Hamptons At Boca Raton,US,26.3826,-80.1859,93.02,68,40,1.99,scattered clouds
146,Benghazi,LY,32.1167,20.0667,82.47,56,0,17.65,clear sky
147,Fairhope,US,30.523,-87.9033,93.06,67,1,4.61,clear sky
148,Ambilobe,MG,-13.2,49.05,68.31,75,86,3.09,overcast clouds
149,Sundsvall,SE,62.3913,17.3063,74.97,54,75,12.66,broken clouds
150,Carnarvon,AU,-24.8667,113.6333,55.47,69,0,5.75,clear sky
151,Rio Grande,BR,-32.035,-52.0986,75.31,73,100,2.44,overcast clouds
152,Vilyuysk,RU,63.7553,121.6247,61.81,60,2,5.48,clear sky
153,Hasaki,JP,35.7333,140.8333,75.6,79,0,13.24,clear sky
154,Great Falls,US,47.5002,-111.3008,88.92,18,1,4.0,clear sky
155,Upernavik,GL,72.7868,-56.1549,41.36,82,50,10.25,scattered clouds
156,Faanui,PF,-16.4833,-151.75,77.76,66,3,13.47,clear sky
157,Zheleznogorsk,RU,52.331,35.3711,68.58,63,59,2.13,broken clouds
158,Gorontalo,ID,0.5412,123.0595,75.88,93,89,3.98,overcast clouds
159,Poya,NC,-21.35,165.15,65.52,88,15,0.65,few clouds
160,Alyangula,AU,-13.8483,136.4192,58.87,94,86,2.3,overcast clouds
161,Chuy,UY,-33.6971,-53.4616,66.04,81,73,11.3,broken clouds
162,Okha,RU,53.5739,142.9478,66.81,86,95,8.28,overcast clouds
163,La Asuncion,VE,11.0333,-63.8628,83.19,71,95,11.81,overcast clouds
164,Maridi,SS,4.9158,29.4742,66.54,99,99,3.56,light rain
165,Uyemskiy,RU,64.4743,40.8524,57.25,67,20,8.95,few clouds
166,Dingle,PH,10.9995,122.6711,76.84,91,71,7.56,light rain
167,Port Hardy,CA,50.6996,-127.4199,59.18,88,75,2.3,broken clouds
168,Usinsk,RU,65.9939,57.5281,47.89,93,100,13.8,overcast clouds
169,Chifeng,CN,42.2683,118.9636,73.67,84,99,5.19,light rain
170,Vila Velha,BR,-20.3297,-40.2925,76.96,56,40,9.22,scattered clouds
171,La Primavera,CO,5.4906,-70.4092,78.78,79,94,5.66,overcast clouds
